growth_rate,Conductance,Time_s,Temperature ( in C ),Catalyst Layer Thickness ( in nm ),Run_ID,Status_of_Exp,,,,,
4.520098674,0.000169367,132,625,2,1,Success,,,,,
4.490667217,0.000171868,134,625,2,1,Success,,,,,
4.503352391,0.000174341,136,625,2,1,Success,,,,,
4.573734624,0.000176932,138,625,2,1,Success,,,,,
6.329409621,0.000185874,140,625,2,1,Success,,,,,
4.469653718,0.000175029,142,625,2,1,Success,,,,,
4.467117309,0.000178744,144,625,2,1,Success,,,,,
4.457513526,0.000182889,146,625,2,1,Success,,,,,
4.519980129,0.000180244,148,625,2,1,Success,,,,,
4.524897134,0.000182497,150,625,2,1,Success,,,,,
4.511937949,0.000185512,152,625,2,1,Success,,,,,
5.183706961,0.000185196,154,625,2,1,Success,,,,,
5.171962378,0.000178634,156,625,2,1,Success,,,,,
4.437915893,0.000180846,158,625,2,1,Success,,,,,
4.494026454,0.000180608,160,625,2,1,Success,,,,,
0,0.000181944,162,625,2,1,Success,,,,,
5.089,0.000182742,164,625,2,1,Success,,,,,
5.13,0.000183443,166,625,2,1,Success,,,,,
4.487,0.000186145,168,625,2,1,Success,,,,,
4.422,0.000184383,170,625,2,1,Success,,,,,
4.467,0.00018401,172,625,2,1,Success,,,,,
4.404,0.000186615,174,625,2,1,Success,,,,,
4.487,0.000185484,176,625,2,1,Success,,,,,
4.364,0.000186996,178,625,2,1,Success,,,,,
4.364,0.00019536,180,625,2,1,Success,,,,,
4.518,0.00019504,182,625,2,1,Success,,,,,
4.52,0.000198446,184,625,2,1,Success,,,,,
4.459,0.000200569,186,625,2,1,Success,,,,,
4.47,0.000204945,188,625,2,1,Success,,,,,
4.36,0.000202067,190,625,2,1,Success,,,,,
4.344,0.000198727,192,625,2,1,Success,,,,,
4.425,0.000196612,194,625,2,1,Success,,,,,
4.478,0.000196423,196,625,2,1,Success,,,,,
5.171,0.000192745,198,625,2,1,Success,,,,,
5.071,0.000191823,200,625,2,1,Success,,,,,
4.428,0.000193146,202,625,2,1,Success,,,,,
4.443,0.000193389,204,625,2,1,Success,,,,,
4.468,0.000192774,206,625,2,1,Success,,,,,
4.421,0.000193136,208,625,2,1,Success,,,,,
4.437,0.000196288,210,625,2,1,Success,,,,,
4.393,0.00019851,212,625,2,1,Success,,,,,
4.386,0.000199206,214,625,2,1,Success,,,,,
4.45,0.000202485,216,625,2,1,Success,,,,,
4.489,0.000199303,218,625,2,1,Success,,,,,
4.445,0.0002033,220,625,2,1,Success,,,,,
4.421,0.000203034,222,625,2,1,Success,,,,,
4.374,0.000199993,224,625,2,1,Success,,,,,
4.346,0.000199826,226,625,2,1,Success,,,,,
4.397,0.000206068,228,625,2,1,Success,,,,,
5.15,0.000204858,230,625,2,1,Success,,,,,
5.094,0.00020447,232,625,2,1,Success,,,,,
4.378,0.000203014,234,625,2,1,Success,,,,,
4.437,0.000199426,236,625,2,1,Success,,,,,
4.413,0.00020166,238,625,2,1,Success,,,,,
4.412,0.000206224,240,625,2,1,Success,,,,,
4.424,0.00020561,242,625,2,1,Success,,,,,
4.429,0.00020698,244,625,2,1,Success,,,,,
4.401,0.000203264,246,625,2,1,Success,,,,,
4.375,0.000205292,248,625,2,1,Success,,,,,
4.379,0.000203909,250,625,2,1,Success,,,,,
4.385,0.000213227,252,625,2,1,Success,,,,,
4.476,0.000215367,254,625,2,1,Success,,,,,
4.411,0.000214911,256,625,2,1,Success,,,,,
4.305,0.000212837,258,625,2,1,Success,,,,,
4.377,0.000210165,260,625,2,1,Success,,,,,
5.141,0.000214075,262,625,2,1,Success,,,,,
5.126,0.000206942,264,625,2,1,Success,,,,,
4.211,0.0002081,266,625,2,1,Success,,,,,
4.285,0.00020821,268,625,2,1,Success,,,,,
4.444,0.000207939,270,625,2,1,Success,,,,,
4.581,0.000207827,272,625,2,1,Success,,,,,
4.425,0.000209105,274,625,2,1,Success,,,,,
4.273,0.000210447,276,625,2,1,Success,,,,,
4.217,0.000210881,278,625,2,1,Success,,,,,
4.347,0.000208546,280,625,2,1,Success,,,,,
4.502,0.000208122,282,625,2,1,Success,,,,,
4.514,0.000208566,284,625,2,1,Success,,,,,
4.351,0.000209458,286,625,2,1,Success,,,,,
4.264,0.000210045,288,625,2,1,Success,,,,,
4.22,0.000209787,290,625,2,1,Success,,,,,
4.333,0.000212612,292,625,2,1,Success,,,,,
4.482,0.000216355,294,625,2,1,Success,,,,,
5.13,0.000218766,296,625,2,1,Success,,,,,
4.925,0.000217668,298,625,2,1,Success,,,,,
4.384,0.000217841,300,625,2,1,Success,,,,,
4.517,0.000221025,302,625,2,1,Success,,,,,
4.481,0.000214855,304,625,2,1,Success,,,,,
4.375,0.000217129,306,625,2,1,Success,,,,,
4.113,0.00021583,308,625,2,1,Success,,,,,
4.241,0.000215533,310,625,2,1,Success,,,,,
4.461,0.000214548,312,625,2,1,Success,,,,,
4.55,0.000213627,314,625,2,1,Success,,,,,
4.408,0.000215644,316,625,2,1,Success,,,,,
4.216,0.000216311,318,625,2,1,Success,,,,,
4.169,0.000217953,320,625,2,1,Success,,,,,
4.334,0.000218063,322,625,2,1,Success,,,,,
4.495,0.000218707,324,625,2,1,Success,,,,,
4.553,0.000221334,326,625,2,1,Success,,,,,
4.95,0.000219163,328,625,2,1,Success,,,,,
5.071,0.000218866,330,625,2,1,Success,,,,,
4.555,0.000220872,332,625,2,1,Success,,,,,
4.448,0.000221019,334,625,2,1,Success,,,,,
4.25,0.000218837,336,625,2,1,Success,,,,,
4.164,0.000220677,338,625,2,1,Success,,,,,
4.37,0.000220093,340,625,2,1,Success,,,,,
4.535,0.000220163,342,625,2,1,Success,,,,,
4.485,0.000221369,344,625,2,1,Success,,,,,
4.314,0.00022044,346,625,2,1,Success,,,,,
4.184,0.00021858,348,625,2,1,Success,,,,,
4.26,0.000219497,350,625,2,1,Success,,,,,
4.495,0.000219153,352,625,2,1,Success,,,,,
4.562,0.00021931,354,625,2,1,Success,,,,,
4.388,0.000216316,356,625,2,1,Success,,,,,
4.163,0.000217309,358,625,2,1,Success,,,,,
4.106,0.00021902,360,625,2,1,Success,,,,,
5.168,0.000219588,362,625,2,1,Success,,,,,
5.069,0.000221933,364,625,2,1,Success,,,,,
4.103,0.000221494,366,625,2,1,Success,,,,,
4.233,0.000224255,368,625,2,1,Success,,,,,
4.5,0.000224044,370,625,2,1,Success,,,,,
4.565,0.000222032,372,625,2,1,Success,,,,,
4.389,0.000221241,374,625,2,1,Success,,,,,
4.102,0.000220044,376,625,2,1,Success,,,,,
